Song,Artist,Spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Come See Me,Rod Wave,0wGVE3BxTW5KCjoLsNlVRB,0.468,0.495,7,-10.671,1,0.167,0.717,0.0,0.11,0.171,114.227,audio_features,0wGVE3BxTW5KCjoLsNlVRB,spotify:track:0wGVE3BxTW5KCjoLsNlVRB,https://api.spotify.com/v1/tracks/0wGVE3BxTW5KCjoLsNlVRB,https://api.spotify.com/v1/audio-analysis/0wGVE3BxTW5KCjoLsNlVRB,190588,5
Call Your Friends,Rod Wave,5W0RVQViQC7xocvAUnIs6Z,0.57,0.557,2,-12.055,1,0.105,0.143,0.0,0.0926,0.301,83.224,audio_features,5W0RVQViQC7xocvAUnIs6Z,spotify:track:5W0RVQViQC7xocvAUnIs6Z,https://api.spotify.com/v1/tracks/5W0RVQViQC7xocvAUnIs6Z,https://api.spotify.com/v1/audio-analysis/5W0RVQViQC7xocvAUnIs6Z,153129,4
Turks & Caicos,Rod Wave Featuring 21 Savage,3kfhS2L56Wj8fBcu7xE47H,0.544,0.496,0,-12.032,1,0.21,0.13,0.0,0.166,0.314,103.148,audio_features,3kfhS2L56Wj8fBcu7xE47H,spotify:track:3kfhS2L56Wj8fBcu7xE47H,https://api.spotify.com/v1/tracks/3kfhS2L56Wj8fBcu7xE47H,https://api.spotify.com/v1/audio-analysis/3kfhS2L56Wj8fBcu7xE47H,203442,5
Hey Driver,Zach Bryan Featuring The War And Treaty,4pCbJC43j3gSqG6Fen6upD,0.583,0.351,0,-5.836,1,0.0306,0.494,0.0,0.368,0.462,79.014,audio_features,4pCbJC43j3gSqG6Fen6upD,spotify:track:4pCbJC43j3gSqG6Fen6upD,https://api.spotify.com/v1/tracks/4pCbJC43j3gSqG6Fen6upD,https://api.spotify.com/v1/audio-analysis/4pCbJC43j3gSqG6Fen6upD,227467,4
Seven,Jung Kook Featuring Latto,7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,audio_features,7x9aauaA9cu6tyfpHnqDLo,spotify:track:7x9aauaA9cu6tyfpHnqDLo,https://api.spotify.com/v1/tracks/7x9aauaA9cu6tyfpHnqDLo,https://api.spotify.com/v1/audio-analysis/7x9aauaA9cu6tyfpHnqDLo,185427,4
Nine Ball,Zach Bryan,3xOi0YhDREKRURFHoNaAOQ,0.597,0.658,7,-4.38,1,0.044,0.11,0.0,0.131,0.38,134.545,audio_features,3xOi0YhDREKRURFHoNaAOQ,spotify:track:3xOi0YhDREKRURFHoNaAOQ,https://api.spotify.com/v1/tracks/3xOi0YhDREKRURFHoNaAOQ,https://api.spotify.com/v1/audio-analysis/3xOi0YhDREKRURFHoNaAOQ,169941,4
El Jefe,Shakira X Fuerza Regida,3TxGNwiGxgE42MqqWAdmDg,0.767,0.612,9,-7.619,1,0.0545,0.497,0.0,0.376,0.965,110.863,audio_features,3TxGNwiGxgE42MqqWAdmDg,spotify:track:3TxGNwiGxgE42MqqWAdmDg,https://api.spotify.com/v1/tracks/3TxGNwiGxgE42MqqWAdmDg,https://api.spotify.com/v1/audio-analysis/3TxGNwiGxgE42MqqWAdmDg,213093,4
All-American Bitch,Olivia Rodrigo,5lDriBxJd22IhOH9zTcFrV,0.465,0.954,10,-4.251,1,0.044,0.000346,5.38e-06,0.573,0.458,143.85,audio_features,5lDriBxJd22IhOH9zTcFrV,spotify:track:5lDriBxJd22IhOH9zTcFrV,https://api.spotify.com/v1/tracks/5lDriBxJd22IhOH9zTcFrV,https://api.spotify.com/v1/audio-analysis/5lDriBxJd22IhOH9zTcFrV,193653,4
White Horse,Chris Stapleton,7MSWxMumjz6lHj7oRApNbg,0.353,0.77,1,-11.066,0,0.0493,0.0016,0.598,0.109,0.224,145.225,audio_features,7MSWxMumjz6lHj7oRApNbg,spotify:track:7MSWxMumjz6lHj7oRApNbg,https://api.spotify.com/v1/tracks/7MSWxMumjz6lHj7oRApNbg,https://api.spotify.com/v1/audio-analysis/7MSWxMumjz6lHj7oRApNbg,267893,4
Mi Ex Tenia Razon,Karol G,54zcJnb3tp9c5OVKREZ1Is,0.634,0.725,5,-4.945,0,0.0587,0.0776,0.0,0.211,0.795,159.845,audio_features,54zcJnb3tp9c5OVKREZ1Is,spotify:track:54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/tracks/54zcJnb3tp9c5OVKREZ1Is,https://api.spotify.com/v1/audio-analysis/54zcJnb3tp9c5OVKREZ1Is,154375,4
LaLa,Myke Towers,3JHpk0DOTOzyh0777JFAky,0.801,0.745,6,-3.733,0,0.063,0.398,0.00603,0.153,0.245,104.965,audio_features,3JHpk0DOTOzyh0777JFAky,spotify:track:3JHpk0DOTOzyh0777JFAky,https://api.spotify.com/v1/tracks/3JHpk0DOTOzyh0777JFAky,https://api.spotify.com/v1/audio-analysis/3JHpk0DOTOzyh0777JFAky,214013,4
500lbs,Lil Tecca,1xWkeSPhf3bZqHY7Ncz8vp,0.731,0.667,7,-7.928,0,0.0815,0.134,0.0,0.114,0.485,123.042,audio_features,1xWkeSPhf3bZqHY7Ncz8vp,spotify:track:1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/tracks/1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/audio-analysis/1xWkeSPhf3bZqHY7Ncz8vp,144390,4
Tourniquet,Zach Bryan,00syWkRGIVQvYsg2OwfBUw,0.408,0.607,10,-7.463,1,0.0391,0.236,8.02e-05,0.0972,0.169,144.136,audio_features,00syWkRGIVQvYsg2OwfBUw,spotify:track:00syWkRGIVQvYsg2OwfBUw,https://api.spotify.com/v1/tracks/00syWkRGIVQvYsg2OwfBUw,https://api.spotify.com/v1/audio-analysis/00syWkRGIVQvYsg2OwfBUw,209320,4
One More Time,Blink-182,5VEnzMXc8ocZko4M4TqnR2,0.628,0.497,2,-5.794,1,0.0271,0.114,0.0,0.112,0.157,114.704,audio_features,5VEnzMXc8ocZko4M4TqnR2,spotify:track:5VEnzMXc8ocZko4M4TqnR2,https://api.spotify.com/v1/tracks/5VEnzMXc8ocZko4M4TqnR2,https://api.spotify.com/v1/audio-analysis/5VEnzMXc8ocZko4M4TqnR2,208115,5
Strangers,Kenya Grace,5mjYQaktjmjcMKcUIcqz4s,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,5mjYQaktjmjcMKcUIcqz4s,spotify:track:5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,172965,4
The Grudge,Olivia Rodrigo,3Nl5OkkmS5DaBZvuYofpAt,0.548,0.307,10,-9.214,1,0.0781,0.916,0.0,0.0828,0.317,127.923,audio_features,3Nl5OkkmS5DaBZvuYofpAt,spotify:track:3Nl5OkkmS5DaBZvuYofpAt,https://api.spotify.com/v1/tracks/3Nl5OkkmS5DaBZvuYofpAt,https://api.spotify.com/v1/audio-analysis/3Nl5OkkmS5DaBZvuYofpAt,189386,4
Un Preview,Bad Bunny,63ui2w3QJBp8xx0c1MJB2Z,0.786,0.814,1,-3.318,1,0.0873,0.0383,3.67e-05,0.22,0.365,95.084,audio_features,63ui2w3QJBp8xx0c1MJB2Z,spotify:track:63ui2w3QJBp8xx0c1MJB2Z,https://api.spotify.com/v1/tracks/63ui2w3QJBp8xx0c1MJB2Z,https://api.spotify.com/v1/audio-analysis/63ui2w3QJBp8xx0c1MJB2Z,165582,4
"Pain, Sweet, Pain",Zach Bryan,4KaCwku7yZUrDRcOc9rMmQ,0.382,0.791,9,-5.416,0,0.0878,0.108,0.0,0.244,0.315,135.9,audio_features,4KaCwku7yZUrDRcOc9rMmQ,spotify:track:4KaCwku7yZUrDRcOc9rMmQ,https://api.spotify.com/v1/tracks/4KaCwku7yZUrDRcOc9rMmQ,https://api.spotify.com/v1/audio-analysis/4KaCwku7yZUrDRcOc9rMmQ,195740,4
Lose Control,Teddy Swims,6usohdchdzW9oML7VC4Uhk,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,6usohdchdzW9oML7VC4Uhk,spotify:track:6usohdchdzW9oML7VC4Uhk,https://api.spotify.com/v1/tracks/6usohdchdzW9oML7VC4Uhk,https://api.spotify.com/v1/audio-analysis/6usohdchdzW9oML7VC4Uhk,210689,3
SkeeYee,Sexyy Red,7icwQvajsokotDfM3tefW6,0.739,0.536,1,-10.843,1,0.308,0.231,0.0,0.35,0.64,82.549,audio_features,7icwQvajsokotDfM3tefW6,spotify:track:7icwQvajsokotDfM3tefW6,https://api.spotify.com/v1/tracks/7icwQvajsokotDfM3tefW6,https://api.spotify.com/v1/audio-analysis/7icwQvajsokotDfM3tefW6,154120,4
Everything I Love,Morgan Wallen,0cv6mTbrqr8vxGC31NjKtM,0.566,0.845,8,-3.817,1,0.0265,0.00475,0.000822,0.148,0.698,103.97,audio_features,0cv6mTbrqr8vxGC31NjKtM,spotify:track:0cv6mTbrqr8vxGC31NjKtM,https://api.spotify.com/v1/tracks/0cv6mTbrqr8vxGC31NjKtM,https://api.spotify.com/v1/audio-analysis/0cv6mTbrqr8vxGC31NjKtM,187047,4
Popular,"The Weeknd, Playboi Carti & Madonna",37sa2suNbOTd1OyIqqZBGx,0.761,0.466,10,-11.186,0,0.0699,0.00365,0.832,0.104,0.432,99.0,audio_features,37sa2suNbOTd1OyIqqZBGx,spotify:track:37sa2suNbOTd1OyIqqZBGx,https://api.spotify.com/v1/tracks/37sa2suNbOTd1OyIqqZBGx,https://api.spotify.com/v1/audio-analysis/37sa2suNbOTd1OyIqqZBGx,217098,4
HG4,Rod Wave,591ks2A0o7ratTpiRdI7M6,0.732,0.387,10,-8.47,0,0.0741,0.0493,0.0,0.141,0.242,157.875,audio_features,591ks2A0o7ratTpiRdI7M6,spotify:track:591ks2A0o7ratTpiRdI7M6,https://api.spotify.com/v1/tracks/591ks2A0o7ratTpiRdI7M6,https://api.spotify.com/v1/audio-analysis/591ks2A0o7ratTpiRdI7M6,159670,3
El Amor de Su Vida,Grupo Frontera & Grupo Firme,0O3U5iwTbiXCREMkvotJuN,0.616,0.834,9,-3.069,1,0.0664,0.06,0.0,0.338,0.746,151.701,audio_features,0O3U5iwTbiXCREMkvotJuN,spotify:track:0O3U5iwTbiXCREMkvotJuN,https://api.spotify.com/v1/tracks/0O3U5iwTbiXCREMkvotJuN,https://api.spotify.com/v1/audio-analysis/0O3U5iwTbiXCREMkvotJuN,165848,4
Truck Bed,HARDY,103u49mLoJUge83B1CnLxI,0.662,0.77,0,-4.887,1,0.0367,0.0875,0.0,0.35,0.769,132.057,audio_features,103u49mLoJUge83B1CnLxI,spotify:track:103u49mLoJUge83B1CnLxI,https://api.spotify.com/v1/tracks/103u49mLoJUge83B1CnLxI,https://api.spotify.com/v1/audio-analysis/103u49mLoJUge83B1CnLxI,167535,4
Lil Boo Thang,Paul Russell,0cVyQfDyRnMJ0V3rjjdlU3,0.85,0.699,0,-3.292,1,0.0776,0.152,0.0,0.32,0.915,114.481,audio_features,0cVyQfDyRnMJ0V3rjjdlU3,spotify:track:0cVyQfDyRnMJ0V3rjjdlU3,https://api.spotify.com/v1/tracks/0cVyQfDyRnMJ0V3rjjdlU3,https://api.spotify.com/v1/audio-analysis/0cVyQfDyRnMJ0V3rjjdlU3,114234,4
My Love Mine All Mine,Mitski,50kSzIXc8avwPULMD4EACM,0.761,0.673,8,-7.306,1,0.0493,0.0587,9.67e-06,0.118,0.927,129.993,audio_features,50kSzIXc8avwPULMD4EACM,spotify:track:50kSzIXc8avwPULMD4EACM,https://api.spotify.com/v1/tracks/50kSzIXc8avwPULMD4EACM,https://api.spotify.com/v1/audio-analysis/50kSzIXc8avwPULMD4EACM,210913,4
Telekinesis,Travis Scott Featuring SZA & Future,3RBS7wIAzrBxh99xFqAqkg,0.493,0.732,2,-7.728,1,0.0324,0.041,0.665,0.0717,0.221,125.105,audio_features,3RBS7wIAzrBxh99xFqAqkg,spotify:track:3RBS7wIAzrBxh99xFqAqkg,https://api.spotify.com/v1/tracks/3RBS7wIAzrBxh99xFqAqkg,https://api.spotify.com/v1/audio-analysis/3RBS7wIAzrBxh99xFqAqkg,104080,4
Tulum,Peso Pluma & Grupo Frontera,7bPp2NmpmyhLJ7zWazAXMu,0.557,0.866,6,-4.454,1,0.0503,0.394,0.0,0.11,0.631,167.767,audio_features,7bPp2NmpmyhLJ7zWazAXMu,spotify:track:7bPp2NmpmyhLJ7zWazAXMu,https://api.spotify.com/v1/tracks/7bPp2NmpmyhLJ7zWazAXMu,https://api.spotify.com/v1/audio-analysis/7bPp2NmpmyhLJ7zWazAXMu,209415,4
