Song,Artist,Spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,Kacey Musgraves;Lana Del Rey,0dEAzedAp3dKqhvGa1BRIC,0.47,0.183,5.0,-15.414,1.0,0.0406,0.829,0.0,0.71,0.381,139.532,audio_features,0dEAzedAp3dKqhvGa1BRIC,spotify:track:0dEAzedAp3dKqhvGa1BRIC,https://api.spotify.com/v1/tracks/0dEAzedAp3dKqhvGa1BRIC,https://api.spotify.com/v1/audio-analysis/0dEAzedAp3dKqhvGa1BRIC,132109.0,4.0
時間がない,KIRINJI,4X6jKZPHkKLbrcEZu13VXK,0.772,0.675,11.0,-9.154,0.0,0.0366,0.124,0.0109,0.102,0.68,126.03,audio_features,4X6jKZPHkKLbrcEZu13VXK,spotify:track:4X6jKZPHkKLbrcEZu13VXK,https://api.spotify.com/v1/tracks/4X6jKZPHkKLbrcEZu13VXK,https://api.spotify.com/v1/audio-analysis/4X6jKZPHkKLbrcEZu13VXK,284160.0,4.0
Sur,Aníbal Troilo Y Su Orquesta Típica;Roberto Goyeneche,3i2L1PRDEwWcUC03y95UPG,0.423,0.401,2.0,-11.219,0.0,0.0449,0.726,0.0,0.269,0.507,111.213,audio_features,3i2L1PRDEwWcUC03y95UPG,spotify:track:3i2L1PRDEwWcUC03y95UPG,https://api.spotify.com/v1/tracks/3i2L1PRDEwWcUC03y95UPG,https://api.spotify.com/v1/audio-analysis/3i2L1PRDEwWcUC03y95UPG,237573.0,4.0
Pega pega (Participação especial de Jojo Maronttinni) - Ao vivo,Imaginasamba;Jojo Maronttinni,3mmf0vMtlIFPtZYRX6yriF,0.769,0.793,0.0,-3.269,1.0,0.0353,0.248,0.836,0.391,0.525,130.048,audio_features,3mmf0vMtlIFPtZYRX6yriF,spotify:track:3mmf0vMtlIFPtZYRX6yriF,https://api.spotify.com/v1/tracks/3mmf0vMtlIFPtZYRX6yriF,https://api.spotify.com/v1/audio-analysis/3mmf0vMtlIFPtZYRX6yriF,105692.0,4.0
In Case You Didn’t Know,Boyce Avenue,10M2Ex445zw585Ducldzkw,0.607,0.536,10.0,-7.306,1.0,0.0305,0.386,0.0,0.102,0.434,147.986,audio_features,10M2Ex445zw585Ducldzkw,spotify:track:10M2Ex445zw585Ducldzkw,https://api.spotify.com/v1/tracks/10M2Ex445zw585Ducldzkw,https://api.spotify.com/v1/audio-analysis/10M2Ex445zw585Ducldzkw,224853.0,4.0
O Sopro do Fole,Maria Bethânia,08HJeHs0U9iSbDWX0sWIem,0.524,0.0856,9.0,-17.766,1.0,0.0999,0.739,0.0,0.0919,0.316,93.672,audio_features,08HJeHs0U9iSbDWX0sWIem,spotify:track:08HJeHs0U9iSbDWX0sWIem,https://api.spotify.com/v1/tracks/08HJeHs0U9iSbDWX0sWIem,https://api.spotify.com/v1/audio-analysis/08HJeHs0U9iSbDWX0sWIem,169371.0,4.0
Vi Mamãe Oxum Na Cachoeira - Live,Mariene De Castro,3SQPSx5AX6jAG96t9pUQwR,0.593,0.661,2.0,-8.215,0.0,0.0313,0.736,0.00055,0.627,0.9,126.807,audio_features,3SQPSx5AX6jAG96t9pUQwR,spotify:track:3SQPSx5AX6jAG96t9pUQwR,https://api.spotify.com/v1/tracks/3SQPSx5AX6jAG96t9pUQwR,https://api.spotify.com/v1/audio-analysis/3SQPSx5AX6jAG96t9pUQwR,105221.0,4.0
Me Gabber - DJ Paul Elstak & The BeatKrusher Remix,Jebroer;Paul Elstak;The BeatKrusher,6bl8PFDgYxbDZHk0LRQhhz,0.553,0.928,7.0,-3.544,0.0,0.13,0.0251,0.0,0.171,0.305,160.044,audio_features,6bl8PFDgYxbDZHk0LRQhhz,spotify:track:6bl8PFDgYxbDZHk0LRQhhz,https://api.spotify.com/v1/tracks/6bl8PFDgYxbDZHk0LRQhhz,https://api.spotify.com/v1/audio-analysis/6bl8PFDgYxbDZHk0LRQhhz,205351.0,4.0
Into Your Arms (feat. Ava Max),Witt Lowry;Ava Max,0b11D9D0hMOYCIMN3OKreM,0.504,0.788,3.0,-4.113,0.0,0.215,0.0134,0.0,0.363,0.228,170.039,audio_features,0b11D9D0hMOYCIMN3OKreM,spotify:track:0b11D9D0hMOYCIMN3OKreM,https://api.spotify.com/v1/tracks/0b11D9D0hMOYCIMN3OKreM,https://api.spotify.com/v1/audio-analysis/0b11D9D0hMOYCIMN3OKreM,186022.0,4.0
Mocca,Lalo Ebratt;Trapical,0NKoPGc72yUKTIneVhFfg1,0.786,0.695,1.0,-5.343,0.0,0.353,0.185,0.0,0.123,0.591,97.957,audio_features,0NKoPGc72yUKTIneVhFfg1,spotify:track:0NKoPGc72yUKTIneVhFfg1,https://api.spotify.com/v1/tracks/0NKoPGc72yUKTIneVhFfg1,https://api.spotify.com/v1/audio-analysis/0NKoPGc72yUKTIneVhFfg1,200293.0,4.0
Nobody Can Save Me,Linkin Park,3dJj6o9o1fRgrojWjailuz,0.645,0.688,11.0,-4.749,1.0,0.0341,0.0107,0.0,0.186,0.433,139.957,audio_features,3dJj6o9o1fRgrojWjailuz,spotify:track:3dJj6o9o1fRgrojWjailuz,https://api.spotify.com/v1/tracks/3dJj6o9o1fRgrojWjailuz,https://api.spotify.com/v1/audio-analysis/3dJj6o9o1fRgrojWjailuz,225547.0,4.0
all the good girls go to hell,Billie Eilish,6HhhlIyB4LIc4D06lIeTsu,0.854,0.446,1.0,-8.957,0.0,0.198,0.313,0.215,0.156,0.57,92.545,audio_features,6HhhlIyB4LIc4D06lIeTsu,spotify:track:6HhhlIyB4LIc4D06lIeTsu,https://api.spotify.com/v1/tracks/6HhhlIyB4LIc4D06lIeTsu,https://api.spotify.com/v1/audio-analysis/6HhhlIyB4LIc4D06lIeTsu,168840.0,4.0
Machine Spirit,ZITH;Misanthropix,36kDrsAPQ62bI32WPrlJew,0.643,0.956,1.0,-3.385,1.0,0.051,0.000458,0.78,0.228,0.515,104.99,audio_features,36kDrsAPQ62bI32WPrlJew,spotify:track:36kDrsAPQ62bI32WPrlJew,https://api.spotify.com/v1/tracks/36kDrsAPQ62bI32WPrlJew,https://api.spotify.com/v1/audio-analysis/36kDrsAPQ62bI32WPrlJew,228571.0,4.0
Bear Crawl,Christopher Zondaflex Tyler,0lASm1brReAnrOirk2f0a2,0.738,0.499,1.0,-14.344,1.0,0.546,0.21,0.0,0.569,0.806,88.916,audio_features,0lASm1brReAnrOirk2f0a2,spotify:track:0lASm1brReAnrOirk2f0a2,https://api.spotify.com/v1/tracks/0lASm1brReAnrOirk2f0a2,https://api.spotify.com/v1/audio-analysis/0lASm1brReAnrOirk2f0a2,97621.0,4.0
Time To Jack,Chip E.,0e7Cem09Vtt7iUwpsgCd7w,0.813,0.611,11.0,-12.602,1.0,0.0655,0.00155,0.888,0.0677,0.565,124.844,audio_features,0e7Cem09Vtt7iUwpsgCd7w,spotify:track:0e7Cem09Vtt7iUwpsgCd7w,https://api.spotify.com/v1/tracks/0e7Cem09Vtt7iUwpsgCd7w,https://api.spotify.com/v1/audio-analysis/0e7Cem09Vtt7iUwpsgCd7w,473787.0,4.0
Ready fi di party,Tony Matterhorn,2xIbHYxBs1fiR4NkPc8z33,0.911,0.616,1.0,-12.46,1.0,0.272,0.569,0.00795,0.154,0.467,120.999,audio_features,2xIbHYxBs1fiR4NkPc8z33,spotify:track:2xIbHYxBs1fiR4NkPc8z33,https://api.spotify.com/v1/tracks/2xIbHYxBs1fiR4NkPc8z33,https://api.spotify.com/v1/audio-analysis/2xIbHYxBs1fiR4NkPc8z33,59600.0,4.0
Mis Noches Te Recuerdan,Los Tukas,5kM1MTkDfvvPDkw9KVSEBC,0.571,0.587,0.0,-8.755,1.0,0.031,0.185,9e-06,0.0853,0.818,101.084,audio_features,5kM1MTkDfvvPDkw9KVSEBC,spotify:track:5kM1MTkDfvvPDkw9KVSEBC,https://api.spotify.com/v1/tracks/5kM1MTkDfvvPDkw9KVSEBC,https://api.spotify.com/v1/audio-analysis/5kM1MTkDfvvPDkw9KVSEBC,141213.0,4.0
Sometimes Love,Apache Indian,0Xs1Yh44j5cIgUQtOCBcQj,0.652,0.806,2.0,-3.875,0.0,0.0797,0.133,0.0,0.281,0.88,107.883,audio_features,0Xs1Yh44j5cIgUQtOCBcQj,spotify:track:0Xs1Yh44j5cIgUQtOCBcQj,https://api.spotify.com/v1/tracks/0Xs1Yh44j5cIgUQtOCBcQj,https://api.spotify.com/v1/audio-analysis/0Xs1Yh44j5cIgUQtOCBcQj,242213.0,4.0
Everybody Loves Louis,Annaleigh Ashford,5le4sn0iMcnKU56bdmNzso,0.52,0.571,11.0,-10.326,0.0,0.036,0.168,5.14e-06,0.17,0.701,161.051,audio_features,5le4sn0iMcnKU56bdmNzso,spotify:track:5le4sn0iMcnKU56bdmNzso,https://api.spotify.com/v1/tracks/5le4sn0iMcnKU56bdmNzso,https://api.spotify.com/v1/audio-analysis/5le4sn0iMcnKU56bdmNzso,239667.0,3.0
Planet Zero,Shinedown,7g2LuO2QFplZfsLKRFiVHl,0.416,0.964,9.0,-2.967,1.0,0.112,2.35e-05,0.000875,0.473,0.212,157.925,audio_features,7g2LuO2QFplZfsLKRFiVHl,spotify:track:7g2LuO2QFplZfsLKRFiVHl,https://api.spotify.com/v1/tracks/7g2LuO2QFplZfsLKRFiVHl,https://api.spotify.com/v1/audio-analysis/7g2LuO2QFplZfsLKRFiVHl,222739.0,4.0
Do You?,Yiruma,7vk7u7kaqw5A6BtkfoxQf3,0.435,0.101,7.0,-18.753,1.0,0.0487,0.992,0.926,0.101,0.222,107.449,audio_features,7vk7u7kaqw5A6BtkfoxQf3,spotify:track:7vk7u7kaqw5A6BtkfoxQf3,https://api.spotify.com/v1/tracks/7vk7u7kaqw5A6BtkfoxQf3,https://api.spotify.com/v1/audio-analysis/7vk7u7kaqw5A6BtkfoxQf3,292907.0,4.0
Paris,The Chainsmokers,72jbDTw1piOOj770jWNeaG,0.653,0.658,2.0,-6.428,1.0,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,audio_features,72jbDTw1piOOj770jWNeaG,spotify:track:72jbDTw1piOOj770jWNeaG,https://api.spotify.com/v1/tracks/72jbDTw1piOOj770jWNeaG,https://api.spotify.com/v1/audio-analysis/72jbDTw1piOOj770jWNeaG,221507.0,4.0
Wild Life,OneRepublic,5r43qanLhUCdBj8HN3fa6B,0.697,0.875,5.0,-4.621,1.0,0.034,0.137,0.0,0.28,0.774,140.069,audio_features,5r43qanLhUCdBj8HN3fa6B,spotify:track:5r43qanLhUCdBj8HN3fa6B,https://api.spotify.com/v1/tracks/5r43qanLhUCdBj8HN3fa6B,https://api.spotify.com/v1/audio-analysis/5r43qanLhUCdBj8HN3fa6B,163855.0,4.0
Joda - Worakls Remix,Joachim Pastor;Worakls,7MiYNyj5si5yiWyeSkgzqB,0.757,0.678,3.0,-11.225,0.0,0.0323,0.0399,0.849,0.129,0.13,115.01,audio_features,7MiYNyj5si5yiWyeSkgzqB,spotify:track:7MiYNyj5si5yiWyeSkgzqB,https://api.spotify.com/v1/tracks/7MiYNyj5si5yiWyeSkgzqB,https://api.spotify.com/v1/audio-analysis/7MiYNyj5si5yiWyeSkgzqB,338087.0,4.0
O Resgate,Realidade Cruel,6suU440DRXoxpLNKWf46XJ,0.553,0.732,7.0,-5.206,0.0,0.262,0.622,0.0,0.163,0.436,152.59,audio_features,6suU440DRXoxpLNKWf46XJ,spotify:track:6suU440DRXoxpLNKWf46XJ,https://api.spotify.com/v1/tracks/6suU440DRXoxpLNKWf46XJ,https://api.spotify.com/v1/audio-analysis/6suU440DRXoxpLNKWf46XJ,415660.0,4.0
La Mala,Balbi El Chamako,5ueWiIP0QQcAqbMutT1Ng0,0.628,0.787,10.0,-6.809,1.0,0.139,0.0059,0.0,0.124,0.377,172.045,audio_features,5ueWiIP0QQcAqbMutT1Ng0,spotify:track:5ueWiIP0QQcAqbMutT1Ng0,https://api.spotify.com/v1/tracks/5ueWiIP0QQcAqbMutT1Ng0,https://api.spotify.com/v1/audio-analysis/5ueWiIP0QQcAqbMutT1Ng0,221185.0,4.0
Silo (feat. fknsyd),RL Grime;Hex Cougar;fknsyd,49Z1VQivkHoY5KGdUwMv5i,0.472,0.933,5.0,-4.985,0.0,0.195,0.0632,0.367,0.0678,0.326,159.949,audio_features,49Z1VQivkHoY5KGdUwMv5i,spotify:track:49Z1VQivkHoY5KGdUwMv5i,https://api.spotify.com/v1/tracks/49Z1VQivkHoY5KGdUwMv5i,https://api.spotify.com/v1/audio-analysis/49Z1VQivkHoY5KGdUwMv5i,247500.0,4.0
Ferxxo 100,Feid,1sbNEFiURUYfy024cJX8JG,0.705,0.562,8.0,-3.378,0.0,0.0674,0.257,0.0,0.137,0.569,163.893,audio_features,1sbNEFiURUYfy024cJX8JG,spotify:track:1sbNEFiURUYfy024cJX8JG,https://api.spotify.com/v1/tracks/1sbNEFiURUYfy024cJX8JG,https://api.spotify.com/v1/audio-analysis/1sbNEFiURUYfy024cJX8JG,167760.0,4.0
Making Music,Blake Rules;Netherfriends,21CVUn10FKOOMQDIU4rBvk,0.764,0.308,2.0,-15.278,1.0,0.128,0.718,0.000335,0.118,0.387,114.864,audio_features,21CVUn10FKOOMQDIU4rBvk,spotify:track:21CVUn10FKOOMQDIU4rBvk,https://api.spotify.com/v1/tracks/21CVUn10FKOOMQDIU4rBvk,https://api.spotify.com/v1/audio-analysis/21CVUn10FKOOMQDIU4rBvk,158609.0,4.0
Ruega por Mí (Prega Per Me),Estela Nuñez,2GMYMmoINylxPK0fpTd61i,0.514,0.377,0.0,-9.906,1.0,0.0268,0.778,0.0,0.12,0.441,95.849,audio_features,2GMYMmoINylxPK0fpTd61i,spotify:track:2GMYMmoINylxPK0fpTd61i,https://api.spotify.com/v1/tracks/2GMYMmoINylxPK0fpTd61i,https://api.spotify.com/v1/audio-analysis/2GMYMmoINylxPK0fpTd61i,202760.0,3.0
Holding,Yonder Mountain String Band,5llrpUzc5oZ4U2RLruiDeI,0.472,0.702,9.0,-8.965,1.0,0.0981,0.82,4.25e-05,0.362,0.351,104.656,audio_features,5llrpUzc5oZ4U2RLruiDeI,spotify:track:5llrpUzc5oZ4U2RLruiDeI,https://api.spotify.com/v1/tracks/5llrpUzc5oZ4U2RLruiDeI,https://api.spotify.com/v1/audio-analysis/5llrpUzc5oZ4U2RLruiDeI,537107.0,4.0
The Farthest Star,VNV Nation,4VJD6Oqg7pp7H7AUkkp3oa,0.55,0.937,9.0,-6.739,0.0,0.0478,0.0242,0.00217,0.115,0.335,134.973,audio_features,4VJD6Oqg7pp7H7AUkkp3oa,spotify:track:4VJD6Oqg7pp7H7AUkkp3oa,https://api.spotify.com/v1/tracks/4VJD6Oqg7pp7H7AUkkp3oa,https://api.spotify.com/v1/audio-analysis/4VJD6Oqg7pp7H7AUkkp3oa,291643.0,4.0
Get It On,T. Rex,5WQKbVKXwbuoq7EdnYU8yM,0.787,0.747,9.0,-6.907,1.0,0.0306,0.45,0.00395,0.104,0.845,121.047,audio_features,5WQKbVKXwbuoq7EdnYU8yM,spotify:track:5WQKbVKXwbuoq7EdnYU8yM,https://api.spotify.com/v1/tracks/5WQKbVKXwbuoq7EdnYU8yM,https://api.spotify.com/v1/audio-analysis/5WQKbVKXwbuoq7EdnYU8yM,284683.0,4.0
Para dos,Orquesta Color Tango De Roberto Alvarez,5hLVTBleEfRpYF2GGVjula,0.573,0.199,9.0,-16.036,0.0,0.0619,0.646,0.364,0.662,0.407,119.698,audio_features,5hLVTBleEfRpYF2GGVjula,spotify:track:5hLVTBleEfRpYF2GGVjula,https://api.spotify.com/v1/tracks/5hLVTBleEfRpYF2GGVjula,https://api.spotify.com/v1/audio-analysis/5hLVTBleEfRpYF2GGVjula,180253.0,4.0
Bloco do Carro Chefe,Mc Bruninho da Praia;Mc Kadu;MC GP;Mc Lele JP,60an8Fb1pH1MniTxTlo2l9,0.818,0.486,4.0,-7.006,0.0,0.394,0.0996,0.0,0.0437,0.637,113.192,audio_features,60an8Fb1pH1MniTxTlo2l9,spotify:track:60an8Fb1pH1MniTxTlo2l9,https://api.spotify.com/v1/tracks/60an8Fb1pH1MniTxTlo2l9,https://api.spotify.com/v1/audio-analysis/60an8Fb1pH1MniTxTlo2l9,396000.0,5.0
Daughters,John Mayer,5FPnjikbwlDMULCCCa6ZCJ,0.674,0.413,2.0,-7.816,1.0,0.0274,0.836,1.95e-05,0.098,0.503,124.893,audio_features,5FPnjikbwlDMULCCCa6ZCJ,spotify:track:5FPnjikbwlDMULCCCa6ZCJ,https://api.spotify.com/v1/tracks/5FPnjikbwlDMULCCCa6ZCJ,https://api.spotify.com/v1/audio-analysis/5FPnjikbwlDMULCCCa6ZCJ,237907.0,3.0
Yo No Soy Celoso,Bad Bunny,33Nx9pVo8ONOmIoMYyILGN,0.791,0.719,10.0,-5.416,0.0,0.0956,0.0819,1.7e-06,0.0399,0.895,100.051,audio_features,33Nx9pVo8ONOmIoMYyILGN,spotify:track:33Nx9pVo8ONOmIoMYyILGN,https://api.spotify.com/v1/tracks/33Nx9pVo8ONOmIoMYyILGN,https://api.spotify.com/v1/audio-analysis/33Nx9pVo8ONOmIoMYyILGN,163880.0,4.0
Quieren Efectos,Money Chicha,2Fc99kfkQ1S2RilXcd6xIU,0.553,0.773,5.0,-6.446,1.0,0.0343,0.173,0.865,0.185,0.597,96.617,audio_features,2Fc99kfkQ1S2RilXcd6xIU,spotify:track:2Fc99kfkQ1S2RilXcd6xIU,https://api.spotify.com/v1/tracks/2Fc99kfkQ1S2RilXcd6xIU,https://api.spotify.com/v1/audio-analysis/2Fc99kfkQ1S2RilXcd6xIU,167218.0,4.0
Boozed - Edit,Korsakoff,08fULhE2gQaAPPdmHZ3BIY,0.79,0.618,4.0,-9.004,0.0,0.0812,0.0413,0.691,0.566,0.269,84.981,audio_features,08fULhE2gQaAPPdmHZ3BIY,spotify:track:08fULhE2gQaAPPdmHZ3BIY,https://api.spotify.com/v1/tracks/08fULhE2gQaAPPdmHZ3BIY,https://api.spotify.com/v1/audio-analysis/08fULhE2gQaAPPdmHZ3BIY,297933.0,4.0
Talking Body - The Young Professionals Remix,Tove Lo;The Young Professionals,2tpfxAXiI52znho4WE3XFA,0.736,0.761,4.0,-5.449,0.0,0.0338,0.0966,0.0,0.0823,0.114,119.999,audio_features,2tpfxAXiI52znho4WE3XFA,spotify:track:2tpfxAXiI52znho4WE3XFA,https://api.spotify.com/v1/tracks/2tpfxAXiI52znho4WE3XFA,https://api.spotify.com/v1/audio-analysis/2tpfxAXiI52znho4WE3XFA,238427.0,4.0
Penurias,Los Vaguens,6xwqmrEshHeFlVI3hrc685,0.329,0.596,5.0,-11.17,1.0,0.0569,0.0179,0.00102,0.267,0.413,167.831,audio_features,6xwqmrEshHeFlVI3hrc685,spotify:track:6xwqmrEshHeFlVI3hrc685,https://api.spotify.com/v1/tracks/6xwqmrEshHeFlVI3hrc685,https://api.spotify.com/v1/audio-analysis/6xwqmrEshHeFlVI3hrc685,198013.0,4.0
Angels From The Realms of Glory,Annie Lennox,78RIER8V6EhrqVPOBi2GYa,0.648,0.755,0.0,-7.901,1.0,0.03,0.0139,0.000253,0.225,0.607,126.341,audio_features,78RIER8V6EhrqVPOBi2GYa,spotify:track:78RIER8V6EhrqVPOBi2GYa,https://api.spotify.com/v1/tracks/78RIER8V6EhrqVPOBi2GYa,https://api.spotify.com/v1/audio-analysis/78RIER8V6EhrqVPOBi2GYa,294587.0,4.0
"My Hawai'i (feat. Sean Na'auao, Kaumakaiwa, Kumu Hina)",The Green;Sean Na'auao;Kaumakaiwa;Kumu Hina,4qyyWB9ah6Rd6eMmRsR26q,0.193,0.467,11.0,-14.405,1.0,0.0458,0.796,0.0,0.443,0.314,112.45,audio_features,4qyyWB9ah6Rd6eMmRsR26q,spotify:track:4qyyWB9ah6Rd6eMmRsR26q,https://api.spotify.com/v1/tracks/4qyyWB9ah6Rd6eMmRsR26q,https://api.spotify.com/v1/audio-analysis/4qyyWB9ah6Rd6eMmRsR26q,110431.0,3.0
Vida Eterna,Lörihen,7qkKJFIYBsLEVOjgAwqTlz,0.443,0.612,1.0,-7.321,1.0,0.0275,0.0188,1e-06,0.103,0.204,155.961,audio_features,7qkKJFIYBsLEVOjgAwqTlz,spotify:track:7qkKJFIYBsLEVOjgAwqTlz,https://api.spotify.com/v1/tracks/7qkKJFIYBsLEVOjgAwqTlz,https://api.spotify.com/v1/audio-analysis/7qkKJFIYBsLEVOjgAwqTlz,207120.0,4.0
Ego Sum Deus,Unholy,0NZPBYD5qbEWRs3PrGiRkT,0.712,0.463,2.0,-7.399,1.0,0.0797,0.011,2.96e-06,0.301,0.206,131.199,audio_features,0NZPBYD5qbEWRs3PrGiRkT,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,https://api.spotify.com/v1/tracks/0NZPBYD5qbEWRs3PrGiRkT,https://api.spotify.com/v1/audio-analysis/0NZPBYD5qbEWRs3PrGiRkT,156943.0,4.0
Tô isso aqui pra te beijar - Ao Vivo,Ferrugem,0mljrVHFeq2qgThql44LcI,0.537,0.761,2.0,-6.194,1.0,0.0741,0.543,0.0,0.472,0.705,165.984,audio_features,0mljrVHFeq2qgThql44LcI,spotify:track:0mljrVHFeq2qgThql44LcI,https://api.spotify.com/v1/tracks/0mljrVHFeq2qgThql44LcI,https://api.spotify.com/v1/audio-analysis/0mljrVHFeq2qgThql44LcI,190662.0,4.0
A Moment Apart,ODESZA,59wlTaYOL5tDUgXnbBQ3my,0.515,0.663,7.0,-7.896,0.0,0.0328,0.179,0.668,0.494,0.0756,120.024,audio_features,59wlTaYOL5tDUgXnbBQ3my,spotify:track:59wlTaYOL5tDUgXnbBQ3my,https://api.spotify.com/v1/tracks/59wlTaYOL5tDUgXnbBQ3my,https://api.spotify.com/v1/audio-analysis/59wlTaYOL5tDUgXnbBQ3my,234244.0,4.0
Sueltate Mah,Marcianeke,3KI4rfS7kRC58Dd4ToY7P3,0.862,0.739,6.0,-4.612,1.0,0.387,0.703,2.29e-05,0.141,0.885,98.073,audio_features,3KI4rfS7kRC58Dd4ToY7P3,spotify:track:3KI4rfS7kRC58Dd4ToY7P3,https://api.spotify.com/v1/tracks/3KI4rfS7kRC58Dd4ToY7P3,https://api.spotify.com/v1/audio-analysis/3KI4rfS7kRC58Dd4ToY7P3,197663.0,4.0
